id	interarrival	mongrel	database	transfer	total
333	3.0	0.04383	0.57935	0.0179799999999999	0.64116
334	70.0	0.04269	0.68692	0.02483	0.75444
335	9.0	0.05156	0.73066	0.02112	0.80334
336	15.0	0.22447	0.56683	0.0669600000000001	0.85826
337	2.0	0.11914	0.60561	0.06834	0.79309
338	27.0	0.44686	0.75141	0.41641	1.61468
339	3.0	0.71812	0.76114	0.52875	2.00801
340	52.0	0.19455	0.54165	0.02585	0.76205
341	58.0	0.03514	0.63037	0.0229900000000001	0.68850
342	157.0	0.03216	0.56652	0.03113	0.62981
343	39.0	0.05804	0.58329	0.02695	0.66828
344	5.0	0	0.00000	0.00063	0.00063
345	80.0	0.41685	0.74468	0.35723	1.51876
346	11.0	0	0.00000	0.00063	0.00063
347	20.0	0.56628	0.78733	1.65714	3.01075
348	43.0	0	0.00000	0.00064	0.00064
349	115.0	0.11936	0.59381	0.0754900000000001	0.78866
350	2.0	0.20329	0.56555	0.05066	0.81950
351	32.0	0	0.00000	0.00067	0.00067
352	79.0	0.04341	0.57265	0.0350900000000001	0.65115
353	90.0	0.06336	0.55994	0.0262300000000001	0.64953
354	12.0	0.04437	0.56035	0.01716	0.62188
355	3.0	0	0.00000	0.00062	0.00062
356	19.0	0.04816	0.54984	0.03195	0.62995
357	59.0	0.06677	0.57911	0.06375	0.70963
358	20.0	0.04797	0.56098	0.02747	0.63642
359	12.0	0	0.00000	0.00063	0.00063
360	4.0	0.12644	0.55078	0.07873	0.75595
361	2.0	0	0.00000	0.00066	0.00066
362	59.0	0.22477	0.62058	0.0789599999999999	0.92431
363	3.0	0	0.00000	0.00069	0.00069
364	38.0	0.06133	0.54058	0.0258600000000001	0.62777
365	6.0	0	0.00000	0.00064	0.00064
366	13.0	0	0.00000	0.00063	0.00063
367	1.0	0	0.00000	0.00065	0.00065
368	176.0	0.03602	0.54154	0.0296	0.60716
369	81.0	0.20194	0.59706	0.0362399999999999	0.83524
370	72.0	0.22179	0.58082	0.0284099999999999	0.83102
371	39.0	0.10979	0.55843	0.03057	0.69879
372	26.0	0	0.00000	0.00066	0.00066
373	85.0	0	0.00000	0.00063	0.00063
374	39.0	0.75551	0.76870	0.96711	2.49132
375	12.0	0.16742	0.55681	0.02818	0.75241
376	79.0	0.04402	0.56165	0.12964	0.73531
377	21.0	0.21274	0.57680	0.11954	0.90908
378	20.0	0	0.00000	0.00067	0.00067
379	56.0	0.21555	0.57942	0.11919	0.91416
380	4.0	0	0.00000	0.00066	0.00066
381	95.0	0.04593	0.56606	0.02555	0.63754
382	40.0	0.03233	0.66046	0.13808	0.83087
383	118.0	0.04973	0.58172	0.0243399999999999	0.65579
384	8.0	0.32995	0.59663	0.12461	1.05119
385	3.0	0	0.00000	0.00073	0.00073
386	43.0	0.26595	0.57891	0.0862499999999999	0.93111
387	25.0	0.28654	0.55551	0.05416	0.89621
388	38.0	0	0.00000	0.00065	0.00065
389	1.0	0.16391	0.53758	0.0236900000000001	0.72518
390	33.0	0.20734	0.54758	0.03968	0.79460
391	6.0	0.15109	0.55674	0.03382	0.74165
392	75.0	0.07272	0.57931	0.03638	0.68841
393	239.0	0.05676	0.56811	0.03498	0.65985
394	45.0	0	0.00000	0.00064	0.00064
395	42.0	0.05349	0.53054	0.0296599999999999	0.61369
396	87.0	0	0.00000	0.00064	0.00064
397	3.0	0	0.00000	0.00064	0.00064
398	25.0	0.05980	0.57289	0.02645	0.65914
399	34.0	0.06782	0.55812	0.0291100000000001	0.65505
400	40.0	0.17346	0.60172	0.0241099999999999	0.79929
401	18.0	0.30510	0.59081	0.11749	1.01340
402	3.0	0.34372	0.60079	0.11688	1.06139
403	175.0	0.09617	0.55996	0.0676600000000001	0.72379
404	46.0	0.04968	0.55716	0.0288	0.63564
405	40.0	0.04530	0.53253	0.02164	0.59947
406	54.0	0.36577	0.62145	0.12823	1.11545
407	4.0	0	0.00000	0.0007	0.00070
408	3.0	0.30993	0.68960	0.18023	1.17976
409	2.0	0.05089	0.58019	0.00731000000000004	0.63839
410	48.0	0.04450	0.56887	0.02398	0.63735
411	60.0	0.21779	0.55008	0.0581799999999999	0.82605
412	16.0	0.23489	0.59050	0.21904	1.04443
413	101.0	0.21321	0.59346	0.12489	0.93156
414	23.0	0.59122	0.73200	0.50218	1.82540
415	39.0	0.05653	0.52681	0.03922	0.62256
416	61.0	0	0.11127	0.01753	0.12880
417	35.0	0.32515	0.58450	0.0540700000000001	0.96372
418	10.0	0.16036	0.55502	0.0479200000000001	0.76330
419	13.0	0.21365	0.55552	0.0948599999999999	0.86403
420	16.0	0.10087	0.52953	0.0371600000000001	0.66756
421	6.0	0.37218	0.55639	0.17038	1.09895
422	25.0	0.21339	0.56741	0.09157	0.87237
423	30.0	0	0.00000	0.00278	0.00278
424	1.0	0.04603	0.58364	0.02447	0.65414
425	71.0	0.03459	0.00423	0.000479999999999999	0.03930
426	4.0	0.03911	0.53753	0.0299200000000001	0.60656
427	46.0	0	0.00000	0.00336	0.00336
428	15.0	0.05120	0.54221	0.03141	0.62482
429	28.0	0.15412	0.53821	0.0653899999999999	0.75772
430	22.0	0.21314	0.56114	0.02869	0.80297
431	32.0	0.03307	0.54801	0.02632	0.60740
432	46.0	0.07313	0.56891	0.11261	0.75465
433	60.0	0.10910	0.55566	0.0296	0.69436
434	83.0	0.22824	0.61344	0.04277	0.88445
435	105.0	0.07952	0.53330	0.0486099999999999	0.66143
